R	53.3345	-6.43038	P409	13 Feb 2026	P409\n12:35 - Hazelhatch to Grand Canal Dock (0 mins late)\nArrived Kishoge next stop Clondalkin	Northbound
R	53.3347	-6.22979	E819	13 Feb 2026	E819\n12:05 - Bray to Malahide (2 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3395	-7.61596	A713	13 Feb 2026	A713\n11:05 - Galway to Dublin Heuston (7 mins late)\nArrived Clara next stop Tullamore	To Dublin Heuston
R	53.3531	-6.24591	E921	13 Feb 2026	E921\n11:55 - Bray to Howth (0 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	E227	13 Feb 2026	E227\n12:15 - Howth to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3725	-6.29869	P750	13 Feb 2026	P750\n12:10 - Maynooth to Dublin Connolly (0 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
R	53.373	-6.20442	E114	13 Feb 2026	E114\n12:24 - Malahide to Greystones (0 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3776	-6.39072	D914	13 Feb 2026	D914\n12:17 - Dublin Connolly to Maynooth (2 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.378	-6.58993	P751	13 Feb 2026	P751\n12:39 - Maynooth to Dublin Connolly (3 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3786	-6.19131	P707	13 Feb 2026	P707\n11:43 - Drogheda to Dublin Connolly (8 mins late)\nDeparted Harmonstown next stop Dublin Connolly	Southbound
R	53.387	-6.16163	E950	13 Feb 2026	E950\n22:20 - Greystones to Howth (2 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.3917	-6.13678	E228	13 Feb 2026	E228\n12:35 - Howth to Bray (2 mins late)\nDeparted Bayside next stop Howth Junction	Southbound
R	53.3917	-6.13678	E920	13 Feb 2026	E920\n11:35 - Bray to Howth (2 mins late)\nDeparted Bayside next stop Sutton	Northbound
R	53.4032	-6.14839	D815	13 Feb 2026	D815\n12:19 - Grand Canal Dock to Drogheda (1 mins late)\nDeparted Clongriffin next stop Malahide	To Drogheda
R	53.4175	-6.46483	P313	13 Feb 2026	P313\n12:40 - M3 Parkway to Clonsilla (0 mins late)\nArrived Dunboyne next stop Hansfield	Southbound
R	53.4509	-6.15649	P610	13 Feb 2026	P610\n12:03 - Drogheda to Grand Canal Dock (1 mins late)\nDeparted Malahide next stop Dublin Connolly	To Grand Canal Dock
R	53.523	-7.34608	A904	13 Feb 2026	A904\n11:05 - Dublin Connolly to Sligo (6 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	D814	13 Feb 2026	D814\n12:07 - Dublin Connolly to Drogheda (0 mins late)\nArrived Skerries next stop Balbriggan	Northbound
R	53.6888	-7.60299	A907	13 Feb 2026	A907\n11:05 - Sligo to Dublin Connolly (2 mins late)\nArrived Edgeworthstown next stop Mullingar	Southbound
R	53.712	-6.33538	A111	13 Feb 2026	A111\n11:00 - Belfast to Dublin Connolly (1 mins late)\nDeparted Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A112	13 Feb 2026	A112\n11:50 - Dublin Connolly to Belfast (4 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	54.0007	-6.41291	A110	13 Feb 2026	A110\n10:50 - Dublin Connolly to Belfast (13 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	P611	13 Feb 2026	P611\n12:40 - Dundalk to Grand Canal Dock (1 mins late)\nDeparted Dundalk next stop Drogheda	To Grand Canal Dock
T	52.1396	-8.65521	A307	13 Feb 2026	A307\n11:05 - Tralee to Mallow(-3 mins late)\nTERMINATED Mallow at 12:34	To Mallow
T	53.0371	-7.30086	D208	13 Feb 2026	D208\n11:20 - Dublin Heuston to Portlaoise(1 mins late)\nTERMINATED Portlaoise at 12:33	To Portlaoise
T	53.2043	-6.10046	E223	13 Feb 2026	E223\n11:15 - Howth to Bray(6 mins late)\nTERMINATED Bray at 12:34	Southbound
T	53.334	-6.37868	P213	13 Feb 2026	P213\n11:25 - Portlaoise to Dublin Heuston(2 mins late)\nTERMINATED Park West and Cherry Orchard at 12:39	To Dublin Heuston
T	53.378	-6.58993	D913	13 Feb 2026	D913\n11:50 - Dublin Connolly to Maynooth(4 mins late)\nTERMINATED Maynooth at 12:37	Northbound
T	53.4349	-6.46898	D310	13 Feb 2026	D310\n12:19 - Clonsilla to M3 Parkway(5 mins late)\nTERMINATED M3 Parkway at 12:36	Northbound
T	53.4509	-6.15649	E817	13 Feb 2026	E817\n11:25 - Bray to Malahide(-1 mins late)\nTERMINATED Malahide at 12:36	Northbound
